Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20080918,46.4566468,84.91651865,67.43399123
20080919,45.92639549,83.1506683,65.44153038
20080922,45.5128277,83.84045988,66.3783234
20080923,45.82865542,85.02185076,67.5728831
20080924,46.03976964,85.4660303,67.69522679
20080925,46.3149772,86.07346129,68.14624026
20080926,46.48677778,85.74240077,68.11984102
20080929,46.58063838,84.08610302,66.90062605
20080930,46.57575899,84.40161377,66.67916986
20081001,46.59545289,82.95877818,65.67198522
20081002,47.10213384,83.29514266,65.54690873
20081003,47.17251727,83.39226349,65.31906032
20081006,47.8710023,84.56377375,65.32793361
20081007,48.02146382,84.33151343,65.52364943
20081008,48.04095733,84.58124064,66.02629505
20081009,47.69868372,82.76743581,65.32194153
20081010,48.70228385,82.97932192,66.19424374
20081013,48.14282334,83.71028929,65.72297153
20081014,47.97815348,84.58360922,66.04082647
20081015,48.55260183,85.34125196,66.21435105
20081016,48.72241459,84.192957,65.87047695
20081017,48.97356585,84.79965063,65.70512567
20081020,49.03721633,85.41675058,65.88868785
20081021,48.9582073,83.17778206,64.60643923
20081022,49.63473407,80.98395001,63.80508423
20081023,50.17432835,81.28786364,64.33299988
20081024,49.98592282,78.20726461,63.02073571
20081027,49.83820258,77.11509728,62.15606625
20081028,50.01565604,78.61864818,62.70778876
20081029,50.05239473,80.42063119,63.97626212
20081030,49.51023952,81.72406765,64.59652697
20081031,49.7129666,80.69643386,63.4777232
20081103,48.57008748,78.24858385,62.33439753
20081104,47.68817551,75.80744532,61.19301339
20081105,47.40203191,75.74025929,61.06306602
20081106,47.83632657,75.98161071,61.14371589
20081107,47.60666165,75.21158334,60.78345006
20081110,47.39886481,74.92970323,61.15861635
20081111,48.34302156,75.73553819,61.68007359
20081112,49.42478208,75.33536348,61.9867607
20081113,48.9882982,72.77469441,61.41482058
20081114,48.91277388,72.19854954,62.0545118
20081117,49.27270846,73.632904,62.43717546
20081118,49.68706477,74.75303582,62.92742375
20081119,49.89160033,75.15330583,63.09158063
20081120,50.19221778,74.85058,63.00953779
20081121,49.88276433,74.84273389,62.9206344
20081124,50.20204368,75.38471944,64.18261626
20081125,49.70471172,74.68020975,63.73583686
20081126,49.63067025,76.01639202,64.25688695
20081127,49.16540198,75.9805784,63.48226514
20081128,49.87712948,76.58741049,63.53756977
20081201,49.89486561,74.84758442,62.96586331
20081202,50.06737456,75.15429801,63.62957801
20081203,50.25046987,74.30520761,63.49007139
20081204,49.66455545,72.75320062,62.73487094
20081205,49.57722241,72.54781733,62.84785898
20081208,49.54504249,73.7102425,63.74433609
